name	pMLST_scheme	pMLST
MVC45	IncF RST	F29:A-:B10
MVC460	IncF RST	F-:A-:B-
MVC463	IncF RST	C4:A5:B1
MVC465	IncF RST	F-:A1:B20
MVC466	IncF RST	F-:A1:B20
MVC468	IncF RST	F-:A-:B-
MVC469	IncF RST	F-:A-:B-
MVC471	IncF RST	F-:A-:B-
MVC474	IncF RST	F-:A-:B-
MVC475	IncF RST	F-:A6:B1
MVC476	IncF RST	F-:A1:B20
MVC478	IncF RST	F1:A1:B16
MVC479	IncF RST	F106:A1:B16
MVC47	IncF RST	F-:A-:B-
MVC480	IncF RST	F-:A-:B-
MVC481	IncF RST	F-:A-:B-
MVC482	IncF RST	F51:A-:B10
MVC484	IncF RST	F-:A-:B-
MVC486	IncF RST	F-:A-:B-
MVC48	IncF RST	F17:A-:B-
MVC491	IncF RST	F2:A-:B-
MVC492	IncF RST	F-:A1:B20
MVC494	IncF RST	F-:A-:B-
MVC495	IncF RST	F2:A-:B-
MVC496	IncF RST	F24:A-:B40
MVC497	IncF RST	F-:A-:B-
MVC498	IncF RST	F-:A-:B-
MVC499	IncF RST	F-:A-:B-
MVC49	IncF RST	C4:A5:B1
MVC4	IncF RST	F-:A-:B-
MVC501	IncF RST	F51:A-:B10
MVC502	IncF RST	C4:A5:B1
MVC506	IncF RST	F1:A1:B1
MVC507	IncF RST	F-:A-:B-
MVC508	IncF RST	F1:A1:B1
MVC509	IncF RST	F-:A-:B-
MVC510	IncF RST	F-:A-:B-
MVC513	IncF RST	F-:A-:B-
MVC514	IncF RST	F-:A-:B-
MVC515	IncF RST	F-:A-:B-
MVC51	IncF RST	F-:A-:B-
MVC520	IncF RST	F-:A-:B-
MVC522	IncF RST	F29:A-:B10
MVC523	IncF RST	F-:A-:B-
MVC524	IncF RST	F-:A-:B-
MVC525	IncF RST	F-:A-:B-
MVC526	IncF RST	F-:A-:B-
MVC530	IncF RST	F-:A1:B1
MVC531	IncF RST	F76:A-:B27
MVC532	IncF RST	F1:A1:B1
MVC534	IncF RST	F29:A-:B10
MVC535	IncF RST	F-:A-:B-
MVC536	IncF RST	F-:A1:B1
MVC537	IncF RST	F29:A-:B10
MVC538	IncF RST	F2:A-:B1
MVC539	IncF RST	F-:A-:B-
MVC53	IncF RST	F-:A-:B-
MVC542	IncF RST	F40:A-:B-
MVC545	IncF RST	F29:A-:B10
MVC547	IncF RST	F29:A-:B10
MVC549	IncF RST	F2:A-:B-
MVC54	IncF RST	F-:A6:B10
MVC550	IncF RST	F-:A-:B-
MVC551	IncF RST	F-:A-:B-
MVC552	IncF RST	F-:A-:B-
MVC553	IncF RST	F29:A-:B10
MVC556	IncF RST	F52:A-:B10
MVC557	IncF RST	F52:A-:B-
MVC55	IncF RST	F2:A-:B1
MVC560	IncF RST	F40:A-:B-
MVC561	IncF RST	F4:A-:B1
MVC562	IncF RST	F2:A-:B1
MVC563	IncF RST	F24:A-:B1
MVC564	IncF RST	F-:A-:B-
MVC565	IncF RST	F-:A-:B-
MVC56	IncF RST	F2:A-:B1
MVC570	IncF RST	F2:A-:B1
MVC571	IncF RST	F2:A-:B1
MVC572	IncF RST	F29:A-:B10
MVC573	IncF RST	F-:A-:B-
MVC576	IncF RST	F-:A1:B1
MVC577	IncF RST	F-:A-:B53
MVC57	IncF RST	F2:A-:B1
MVC583	IncF RST	F51:A-:B10
MVC586	IncF RST	F-:A-:B-
MVC587	IncF RST	F29:A-:B10
MVC58	IncF RST	F-:A-:B-
MVC592	IncF RST	F29:A-:B10
MVC594	IncF RST	F2:A-:B1
MVC597	IncF RST	F-:A-:B-
MVC599	IncF RST	F2:A-:B-
MVC59	IncF RST	F-:A-:B-
MVC5	IncF RST	F29:A-:B-
MVC600	IncF RST	F-:A-:B-
MVC601	IncF RST	F1:A2:B20
MVC608	IncF RST	F-:A-:B-
MVC60	IncF RST	F34:A-:B-
MVC610	IncF RST	F-:A-:B-
MVC612	IncF RST	F36:A-:B52
MVC614	IncF RST	F-:A-:B-
MVC618	IncF RST	F29:A-:B10
MVC619	IncF RST	F-:A-:B-
MVC61	IncF RST	F-:A-:B-
MVC623	IncF RST	F-:A-:B1
MVC624	IncF RST	F1:A1:B1
MVC626	IncF RST	F-:A-:B-
MVC628	IncF RST	F-:A-:B-
MVC629	IncF RST	F-:A-:B-
MVC62	IncF RST	F46:A6:B12
MVC631	IncF RST	F2:A-:B1
MVC633	IncF RST	C4:A-:B1
MVC63	IncF RST	F-:A-:B-
MVC641	IncF RST	F2:A-:B1
MVC64	IncF RST	F-:A-:B-
MVC652	IncF RST	F2:A-:B1
MVC655	IncF RST	F-:A-:B-
MVC657	IncF RST	F-:A-:B-
MVC660	IncF RST	F-:A-:B-
MVC661	IncF RST	F-:A-:B-
MVC664	IncF RST	F-:A-:B54
MVC666	IncF RST	F29:A-:B10
MVC66	IncF RST	F-:A-:B-
MVC674	IncF RST	F-:A-:B-
MVC675	IncF RST	F-:A-:B-
MVC67	IncF RST	F-:A-:B-
MVC681	IncF RST	F34:A-:B-
MVC682	IncF RST	F-:A-:B-
MVC687	IncF RST	F4:A-:B-
MVC692	IncF RST	F-:A-:B-
MVC693	IncF RST	F29:A-:B10
MVC694	IncF RST	F29:A-:B10
MVC6	IncF RST	F-:A-:B-
MVC704	IncF RST	F-:A-:B-
MVC715	IncF RST	F-:A-:B-
MVC71	IncF RST	F-:A-:B-
MVC734	IncF RST	F29:A-:B10
MVC738	IncF RST	F-:A-:B-
MVC73	IncF RST	F-:A-:B15
MVC745	IncF RST	F-:A-:B-
MVC746	IncF RST	F1:A-:B49
MVC747	IncF RST	F29:A-:B10
MVC749	IncF RST	F-:A-:B-
MVC754	IncF RST	F-:A-:B-
MVC755	IncF RST	F-:A-:B-
MVC759	IncF RST	F29:A-:B10
MVC760	IncF RST	F24:A-:B-
MVC761	IncF RST	F-:A-:B-
MVC763	IncF RST	F29:A-:B10
MVC771	IncF RST	F29:A-:B10
MVC773	IncF RST	F2:A-:B-
MVC777	IncF RST	C4:A-:B1
MVC778	IncF RST	C4:A-:B1
MVC779	IncF RST	F-:A-:B-
MVC780	IncF RST	F-:A-:B-
MVC785	IncF RST	F68:A-:B-
MVC786	IncF RST	F-:A-:B-
MVC788	IncF RST	F24:A-:B1
MVC793	IncF RST	F-:A-:B1
MVC794	IncF RST	F-:A-:B-
MVC795	IncF RST	F-:A-:B-
MVC799	IncF RST	F-:A-:B-
MVC79	IncF RST	F112:A6:B23
MVC803	IncF RST	C4:A5:B1
MVC804	IncF RST	F95:A-:B1
MVC815	IncF RST	F-:A-:B-
MVC82	IncF RST	F-:A-:B-
MVC83	IncF RST	F-:A-:B-
MVC85	IncF RST	F-:A-:B-
MVC87	IncF RST	F1:A2:B20
MVC89	IncF RST	F-:A-:B-
MVC91	IncF RST	F-:A-:B-
MVC93	IncF RST	F-:A-:B-
MVC94	IncF RST	F-:A-:B-
MVC95	IncF RST	F-:A-:B52
MVC98	IncF RST	F-:A-:B-
MVC99	IncF RST	C4:A-:B1
MVC9	IncF RST	F-:A-:B-
MVC103	IncHI2 DLST	4
MVC110	IncHI2 DLST	4
MVC207	IncHI2 DLST	3
MVC675	IncHI2 DLST	11*
MVC130	IncI1 MLST	201
MVC210	IncI1 MLST	23
MVC212	IncI1 MLST	23
MVC217	IncI1 MLST	23
MVC219	IncI1 MLST	223!
MVC325	IncI1 MLST	36
MVC369	IncI1 MLST	3
MVC42	IncI1 MLST	36
MVC520	IncI1 MLST	147
MVC53	IncI1 MLST	36
MVC633	IncI1 MLST	23
MVC804	IncI1 MLST	23
MVC130	IncN MLST	1
